NAME,RA,DEC
XZGru   ,341.89443835,-39.05911175
BHPeg   ,343.25438247,15.78810153
ACAnd   ,349.50978272,48.7828779
DNAqr   ,349.82154725,-24.21630254
V351Peg ,351.35490715,15.68868999
RVPhe   ,352.13087814,-47.45358939
BRAqr   ,354.63702012,-9.31872059
VZPeg   ,355.56787516,24.91626541
ATAnd   ,355.62849141,43.01447218
DMAnd,353.002946,35.196908
DRAnd,16.294612,34.2184
OVAnd,5.184192,40.828
BSAps,245.214571,-71.671039
TZAqr,330.481325,-5.600711
BOAqr,343.534467,-12.360592
CPAqr,317.55355,-1.721169
FYAqr,334.145725,-3.815381
AAAql,309.562846,-2.890289
V672Aql,296.407054,8.021417
V1356Aql,296.745312,-2.076211
V532Ara,262.298804,-51.094667
RWAri,34.015508,17.532994
UUBoo,229.271908,35.115692
XXBoo,222.906504,29.3574
DGBoo,229.508558,46.701594
UCae,73.310042,-37.821081
AHCam,61.662042,55.499906
CNCam,174.049254,81.293653
LPCam,62.418146,62.453219
SSCnc,121.606621,23.251569
AQCnc,139.4124,12.651039
EZCnc,133.240417,23.798428
ZCVn,192.439083,43.773672
ALCMi,117.237737,5.636458
IUCar,103.281137,-59.595672
HUCas,17.76515,57.346089
NOCas,6.019392,61.341686
BICen,176.477692,-59.377831
V590Cen,168.104896,-36.879536
V595Cen,170.525621,-36.585461
V671Cen,205.040375,-37.441106
V674Cen,210.850333,-36.405597
V819Cen,199.840392,-58.194856
DXCep,341.079408,83.950569
RYCom,196.283275,23.278397
BSCom,203.66335,24.277211
WWCrA,271.403321,-43.832594
V592CrA,276.586754,-44.997281
DMCyg,320.298117,32.191308
V1815Cyg,330.438767,48.081569
CKDel,306.258512,11.210308
VYDor,72.055387,-53.8015
XXDor,74.80655,-69.595372
CYDra,296.521758,59.573942
DDDra,281.019187,60.770222
RTEqu,318.680262,4.493589
UZEri,48.440667,-14.212122
RXFor,47.805071,-26.483006
SWFor,45.2863,-38.128717
RRGru,324.514808,-44.686731
CWHer,252.659346,35.451358
GYHer,249.575175,37.80135
DHHya,135.061787,-9.778922
ETHya,128.767571,-8.836119
SXHyi,31.914392,-77.813117
CQLac,335.293312,39.720172
RXLeo,170.993154,26.615025
AALeo,174.809279,10.327322
AELeo,171.550817,17.661014
ANLeo,170.843646,6.634761
VLMi,156.356642,28.785475
XLMi,151.528,39.357897
XLMi,151.528,39.357897
CWLup,215.095733,-44.533147
RZLyr,280.907858,32.798322
KXLyr,278.313437,40.172967
RVMen,94.298658,-73.482147
V535Mon,107.703463,1.282239
V680Mon,104.877975,9.316553
STOph,263.497433,-1.080872
TYPav,267.178737,-62.600008
BHPav,278.669033,-65.450842
VVPeg,333.266179,18.451178
DZPeg,350.029283,16.068608
ESPeg,338.327242,30.170919
RYPsc,2.921254,-1.748683
BQPup,112.815521,-25.907422
OPPup,114.839537,-17.346975
XRet,51.333758,-65.055183
V796Sgr,296.666325,-40.456328
V1176Sgr,276.106983,-21.572244
V1645Sgr,305.185333,-41.118306
V1646Sgr,305.786458,-31.295061
V487Sco,263.774271,-34.395839
RVScl,19.927433,-26.865192
TXScl,358.842737,-26.301986
UZScl,350.696004,-30.119386
AEScl,16.857554,-32.309744
AVSer,240.924321,0.599139
RUSex,146.419792,-6.733278
RVSex,161.674192,-8.375781
GRTel,283.148821,-53.182269
HHTel,293.3346,-45.663664
HYTel,302.056046,-55.233931
YYTuc,347.752358,-58.335347
AOTuc,1.026429,-59.485064
BKTuc,352.388896,-72.544439
EXUMa,131.30095,56.60745
FSVel,161.501296,-43.988078
UVVir,185.319733,0.367503
ASVir,193.191108,-10.260117
BCVir,200.588096,5.886372
BQVir,189.113846,-2.4257
FKVul,313.129154,22.436578
,204.965471,-26.871481
,213.439592,-22.911628
,243.025958,-59.713517
,350.989237,-53.302942
